street,name,type,oneway,node,lat,lon
587061856,5th Avenue,secondary,yes,7094731936,40.7763806,-73.9641985
587061856,5th Avenue,secondary,yes,42436911,40.7763169,-73.9642447
587061856,5th Avenue,secondary,yes,7094731940,40.7762609,-73.9642854
587061856,5th Avenue,secondary,yes,7094731953,40.7757419,-73.9646615
587061856,5th Avenue,secondary,yes,42446455,40.7756839,-73.9647035
587061856,5th Avenue,secondary,yes,7094731932,40.7756564,-73.9647234
587061856,5th Avenue,secondary,yes,5402554239,40.7753699,-73.9649310
587061856,5th Avenue,secondary,yes,7094731968,40.7751131,-73.9651177
587061856,5th Avenue,secondary,yes,42454679,40.7750509,-73.9651622
587061856,5th Avenue,secondary,yes,7094731963,40.7749984,-73.9652002
